block,energy_std,energy_mean,cluster
block_0,0.2852806228620377,0.45661920191105454,1
block_1,0.26382906961004504,0.3916602360937711,1
block_10,0.21446395115120562,0.28976909241461024,2
block_100,0.14590539100898745,0.15853724865006458,4
block_101,0.14836214591476898,0.17338258327492395,4
block_102,0.11938790249342042,0.13676344535420332,4
block_103,0.15485009894107643,0.16438481898382942,4
block_104,0.18926170161178893,0.22043691109229227,3
block_105,0.13438512199937175,0.15630728946515393,4
block_106,0.11688470082498835,0.15777240970064518,4
block_107,0.14018231942964668,0.17418824974375025,4
block_108,0.1259773802424324,0.1451320093885932,4
block_109,0.10479269953857541,0.13143559050382445,4
block_11,0.2010429816277391,0.2717073357248617,2
block_110,0.18890296668120857,0.23229529912583927,3
block_111,0.21853272085594164,0.24300570025799947,2
block_12,0.20565430364332207,0.2586645361616887,2
block_13,0.18351704914980146,0.22386844771130407,3
block_14,0.2065169673275299,0.248895037594862,2
block_15,0.17197825553901347,0.2107693612369597,3
block_16,0.1752643116708134,0.21434736225088152,3
block_17,0.17390711509083154,0.21947246885102506,3
block_18,0.17866456412204415,0.20563753932460135,3
block_19,0.16946036934393618,0.2355509850716866,3
block_2,0.24747178147980356,0.36371022845928264,1
block_20,0.1926531263896441,0.2224856473730219,3
block_21,0.14849658791830403,0.17053978730562594,4
block_22,0.19704577147322297,0.23531759304156616,3
block_23,0.190425831155089,0.20531313825325653,3
block_24,0.21161229590188863,0.24033317855172337,2
block_25,0.1744210910117643,0.2196852106207038,3
block_26,0.17760810341710126,0.18801926831157653,3
block_27,0.18576954176069593,0.19769361260224852,3
block_28,0.21262415191376893,0.23230097900496005,2
block_29,0.20843716641365181,0.24501980870888374,2
block_3,0.1966418480256462,0.25714657180529077,2
block_30,0.21336249478152775,0.23908619750362362,2
block_31,0.17378419886990815,0.2121327721488253,3
block_32,0.1421510136643578,0.17540551901319754,4
block_33,0.16857486415349537,0.21908126227360147,3
block_34,0.21300790071725856,0.2522987517888606,2
block_35,0.16850719894436753,0.21545425989084657,3
block_36,0.18527260591126635,0.22695997051184028,3
block_37,0.17381777001761414,0.21041977147087765,3
block_38,0.18515914060222846,0.22951400610067696,3
block_39,0.17514541651838025,0.21235703169282125,3
block_4,0.18757504243890064,0.22724317399832322,3
block_40,0.1979414614744109,0.2298943142134367,3
block_41,0.16393571042273147,0.1961838156479742,3
block_42,0.17949196746634802,0.21205467018023408,3
block_43,0.15132727649473315,0.1812621075884125,4
block_44,0.14143640888079848,0.18264000434734348,4
block_45,0.15614936081789468,0.19439504174148461,4
block_46,0.13282282132167367,0.16528866939265252,4
block_47,0.15239601371882072,0.19577891539722608,4
block_48,0.17739794297870273,0.20914759851470366,3
block_49,0.16008923577026546,0.19913499359527978,3
block_5,0.21356038918048922,0.28003261664006646,2
block_50,0.13320599232074082,0.17979518790840654,4
block_51,0.16162952439068445,0.20557575665156774,3
block_52,0.15243754711731505,0.20030521457641387,4
block_53,0.15070218709510427,0.18262082646865144,4
block_54,0.1754872363368202,0.22266190341831915,3
block_55,0.12282754349063599,0.15874412370641255,4
block_56,0.13790701890458995,0.19656322780597935,4
block_57,0.17618527081500615,0.23672428160038197,3
block_58,0.17536778523620947,0.21247255837394227,3
block_59,0.17469024079969075,0.19693674548549278,3
block_6,0.20882366327804613,0.2878724368011831,2
block_60,0.19373054094613296,0.22759843307114547,3
block_61,0.17117350415970703,0.2057586832645621,3
block_62,0.1654475360063886,0.21123914107273,3
block_63,0.1780599204730265,0.2141991198134966,3
block_64,0.15364455000169222,0.19766673073843738,4
block_65,0.18029119287135295,0.2142199745863601,3
block_66,0.21409393216445483,0.2598620166371558,2
block_67,0.18036617915535058,0.24355450731651987,3
block_68,0.213767056360064,0.28513703819270114,2
block_69,0.18413557602994687,0.24030437099597174,3
block_7,0.2234869269284859,0.3032894036402774,2
block_70,0.1639898921264212,0.2044230096455493,3
block_71,0.18028716178118967,0.2201202758780241,3
block_72,0.18546424964498825,0.22137390746083777,3
block_73,0.2607354433797221,0.24723758734471957,2
block_74,0.1751725000012861,0.210598295976815,3
block_75,0.16230096433219307,0.216801197460068,3
block_76,0.16240752095055136,0.2064640280405018,3
block_77,0.17776769523016397,0.20916268013996006,3
block_78,0.15381763487308825,0.18507500892978254,4
block_79,0.17155207570539333,0.1971741680889439,3
block_8,0.23593100845738801,0.297282229676379,2
block_80,0.1739334034782438,0.21381850072574907,3
block_81,0.18080314173913004,0.2267431751995826,3
block_82,0.16121481418245645,0.21289617588277976,3
block_83,0.1733133606275915,0.2222424837091643,3
block_84,0.17506656878788485,0.2111894036547037,3
block_85,0.17469833614872907,0.20706936023333533,3
block_86,0.1518961091895041,0.20342793685867658,4
block_87,0.15918371105290027,0.1827444749288898,4
block_88,0.16915391785473932,0.2017856424962702,3
block_89,0.165359340150476,0.20295201319261896,3
block_9,0.19474723812057748,0.2515567265158426,2
block_90,0.1431215784700326,0.16494286750168494,4
block_91,0.13188455785122508,0.146560011131757,4
block_92,0.1644659832727097,0.13693508414693267,4
block_93,0.17119340568488617,0.14890078181010538,4
block_94,0.13549097991313608,0.15577965416439515,4
block_95,0.13772590238860952,0.15969049109858438,4
block_96,0.11664643419996844,0.13900656465917097,4
block_97,0.11829888900759651,0.15197440317981267,4
block_98,0.1322336109048197,0.15593062658854032,4
block_99,0.13252890491219568,0.163382029739173,4
